F511ID,Rank,stop_id,BookingId,ScheduleType,Categories,BRT,name,stop_lat,stop_lon,span_duration_min,freq_10pctile,lostrips_10pctile,sum_ons,sum_offs,sum_total,Shelter Jurisdiction,City,County,Ward,Person_Minutes,PM_PercentileRANK,pct_peopleofcolor,POC_PercentileRank,pct_below200pctfedpov,POV_PercentileRank,Social Services,POV_PercentileRank,No Service 
56040,1,801650,2108FA,Weekday,,#N/A,E St & Bret Harte Middle School,37.670212,-122.079055,105,105,0.571428571,0,0,0,#N/A,HAYWARD,ALAMEDA,4,0,0.00%,0.734824,44.90%,0.207668,48.80%,2,91.60%,#REF!
51291,2,1006040,2108FA,Weekday,,#N/A,Broadway Ter & Country Club Dr,37.839613,-122.242146,71,71,0.845070423,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.464924,16.10%,0.134175,32.30%,0,0.00%,#REF!
57882,3,1006080,2108FA,Weekday,,#N/A,Broadway Ter & Hermosa Av,37.842702,-122.231888,71,71,0.845070423,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.274364,5.40%,0.065451,12.10%,0,0.00%,#REF!
51259,4,1005940,2108FA,Weekday,,#N/A,6133 Broadway Ter,37.842566,-122.233173,71,71,0.845070423,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.274364,5.40%,0.065451,12.10%,0,0.00%,#REF!
54431,5,1005970,2108FA,Weekday,,#N/A,Broadway Ter & Arts Jr High School/Far West High,37.837271,-122.248943,71,71,0.845070423,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.464924,16.10%,0.134175,32.30%,1,72.50%,#REF!
53910,6,1006000,2108FA,Weekday,,#N/A,Broadway Ter & Carlton St,37.838249,-122.246447,71,71,0.845070423,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.464924,16.10%,0.134175,32.30%,0,0.00%,#REF!
54799,7,1016710,2108FA,Weekday,,#N/A,Moraga Av & Montclair Recreation Center,37.8291,-122.213158,71,71,0.845070423,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.166854,0.70%,0.055618,9.70%,0,0.00%,#REF!
58920,8,800480,2108FA,Weekday,,#N/A,B St & 5th St,37.678649,-122.07402,960,63,0.952380952,0,0,0,#N/A,HAYWARD,ALAMEDA,4,0,0.00%,0.707925,41.60%,0.129834,31.40%,0,0.00%,#REF!
59829,9,9803130,2108FA,Weekday,,#N/A,Stanton Av & Stanton Heights Ct,37.70324,-122.097286,962,62.5,0.96,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.494665,19.00%,0.17457,42.30%,0,0.00%,#REF!
50388,10,1011590,2108FA,Weekday,,#N/A,Golf Links Rd & Elysian Fields Dr,37.757476,-122.140814,740,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.77574,53.50%,0.112749,28.00%,0,0.00%,#REF!
57680,11,1014150,2108FA,Weekday,,#N/A,Lincoln Av & Maiden Ln,37.810097,-122.198497,787,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.272514,5.20%,0.054033,8.80%,1,72.50%,#REF!
57645,12,1014060,2108FA,Weekday,,#N/A,4500 Lincoln Av,37.809398,-122.202506,785,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.270793,5.00%,0.05029,7.80%,2,91.60%,#REF!
56939,13,1013300,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Crockett Pl,37.808185,-122.180842,786,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.28169,5.80%,0.048513,6.50%,0,0.00%,#REF!
59661,14,1013330,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Mountain Blvd,37.81084,-122.196536,787,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.50655,20.00%,0.083333,18.70%,0,0.00%,#REF!
56953,15,1013340,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Robinson Dr,37.809511,-122.183543,787,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.28169,5.80%,0.048513,6.50%,0,0.00%,#REF!
56962,16,1013360,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Sanborn Dr (East Jctn),37.809637,-122.183012,785,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.192822,1.60%,0.00563,0.20%,0,0.00%,#REF!
56961,17,1013350,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Sanborn Dr (West Jctn),37.810518,-122.193042,785,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.192822,1.60%,0.00563,0.20%,0,0.00%,#REF!
56560,18,1019550,2108FA,Weekday,,#N/A,Skyline Blvd & Redwood Rd,37.798672,-122.170114,786,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.193727,1.80%,0.094096,22.10%,0,0.00%,#REF!
56292,19,1011650,2108FA,Weekday,,#N/A,Golf Links Rd & Scotia Av,37.754103,-122.127362,800,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.776695,53.80%,0.096145,23.60%,0,0.00%,#REF!
56263,20,1011550,2108FA,Weekday,,#N/A,Golf Links Rd & Anza Av,37.754762,-122.147413,740,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.799175,58.60%,0.103064,25.70%,0,0.00%,#REF!
58457,21,1014080,2108FA,Weekday,,#N/A,Lincoln Av & Greek Church,37.810321,-122.200501,787,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.272514,5.20%,0.054033,8.80%,2,91.60%,#REF!
56935,22,1013280,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Crane Way (West Jctn),37.809583,-122.189592,787,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.28169,5.80%,0.048513,6.50%,0,0.00%,#REF!
53341,23,1014160,2108FA,Weekday,,#N/A,Lincoln Av & Monterey Blvd,37.810284,-122.198354,785,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.270793,5.00%,0.05029,7.80%,1,72.50%,#REF!
58490,24,1019590,2108FA,Weekday,,#N/A,Skyline Blvd & Stantonville Dr,37.801469,-122.174971,785,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.50655,20.00%,0.083333,18.70%,0,0.00%,#REF!
56929,25,1013270,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Butters Dr,37.809726,-122.191814,787,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.28169,5.80%,0.048513,6.50%,0,0.00%,#REF!
58398,26,1019480,2108FA,Weekday,,#N/A,Skyline Blvd & Crestmont Dr,37.803024,-122.177355,786,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.50655,20.00%,0.083333,18.70%,0,0.00%,#REF!
58298,27,1019470,2108FA,Weekday,,#N/A,Skyline Blvd & Crestmont Dr,37.803191,-122.177109,786,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.50655,20.00%,0.083333,18.70%,0,0.00%,#REF!
58459,28,1019560,2108FA,Weekday,,#N/A,Skyline Blvd & Rishell Rd,37.799551,-122.17215,786,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.50655,20.00%,0.083333,18.70%,0,0.00%,#REF!
56963,29,1013370,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Skyline Blvd,37.805074,-122.179479,787,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.28169,5.80%,0.048513,6.50%,0,0.00%,#REF!
56951,30,1013310,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Crockett Pl,37.808625,-122.180888,786,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.192822,1.60%,0.00563,0.20%,0,0.00%,#REF!
56936,31,1013290,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Crane Way,37.809805,-122.18963,785,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.192822,1.60%,0.00563,0.20%,0,0.00%,#REF!
56952,32,1013320,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Hedge Ln,37.810671,-122.194825,786,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.50655,20.00%,0.083333,18.70%,0,0.00%,#REF!
57076,33,1013380,2108FA,Weekday,,#N/A,Joaquin Miller Rd & Skyline Blvd,37.80544,-122.179298,785,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.192822,1.60%,0.00563,0.20%,0,0.00%,#REF!
58470,34,1014090,2108FA,Weekday,,#N/A,Lincoln Av & Greek Church,37.810484,-122.200691,785,62,0.967741935,0,0,0,#N/A,OAKLAND,ALAMEDA,2,0,0.00%,0.270793,5.00%,0.05029,7.80%,2,91.60%,#REF!
54717,35,9801920,2108FA,Weekday,,#N/A,Lake Chabot Rd & Castro Valley Blvd,37.694703,-122.086651,962,62,0.967741935,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.638396,33.30%,0.378896,73.80%,1,72.50%,#REF!
58687,36,1014110,2108FA,Weekday,,#N/A,Lincoln Av & Head Royce School,37.808199,-122.204357,788,61.7,0.972447326,0,0,0,#N/A,OAKLAND,ALAMEDA,3,0,0.00%,0.272514,5.20%,0.054033,8.80%,3,96.50%,#REF!
59040,37,102250,2108FA,Weekday,,#N/A,Mecartney Rd & Sharon Rd,37.738027,-122.254562,771,61.6,0.974025974,0,0,0,#N/A,ALAMEDA,ALAMEDA,3,0,0.00%,0.611229,29.50%,0.017865,2.50%,0,0.00%,#REF!
57517,38,102240,2108FA,Weekday,,#N/A,Mecartney Rd & Sharon Rd,37.737884,-122.254372,771,61.6,0.974025974,0,0,0,#N/A,ALAMEDA,ALAMEDA,3,0,0.00%,0.67517,36.60%,0.060374,10.90%,0,0.00%,#REF!
54737,39,9801970,2108FA,Weekday,,#N/A,Madison Av & James Av,37.705718,-122.064547,960,61.5,0.975609756,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.325023,8.40%,0.039347,4.70%,0,0.00%,#REF!
57741,40,9802640,2108FA,Weekday,,#N/A,Redwood Rd & Lorena Av,37.699688,-122.074098,962,61.5,0.975609756,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.483603,18.50%,0.195301,46.60%,0,0.00%,#REF!
54160,41,9802520,2108FA,Weekday,,#N/A,Paseo Grande & Via Cordoba,37.683297,-122.120215,966,61.5,0.975609756,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.634336,32.80%,0.222114,50.60%,0,0.00%,#REF!
52108,42,9801080,2108FA,Weekday,,#N/A,Elgin St & Linnea Av,37.695379,-122.123543,966,61.5,0.975609756,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.896677,76.20%,0.142467,33.90%,0,0.00%,#REF!
56741,43,9802820,2108FA,Weekday,,#N/A,Seven Hills Rd & Brickell Way,37.708765,-122.068817,960,61.5,0.975609756,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.325023,8.40%,0.039347,4.70%,1,72.50%,#REF!
56714,44,9802650,2108FA,Weekday,,#N/A,Redwood Rd & Modesto St,37.698403,-122.073839,960,61,0.983606557,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.435474,14.90%,0.069677,13.20%,0,0.00%,#REF!
58189,45,302830,2108FA,Weekday,,#N/A,Grizzly Peak Blvd & Arcade Av,37.88691,-122.251084,663,61,0.983606557,0,0,0,#N/A,BERKELEY,ALAMEDA,1,0,0.00%,0.287037,6.40%,0.070588,13.30%,0,0.00%,#REF!
54526,46,9804190,2108FA,Weekday,,#N/A,Madison Av & James Av,37.705773,-122.064425,962,61,0.983606557,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.29653,6.80%,0.054679,9.40%,0,0.00%,#REF!
59869,47,9804200,2108FA,Weekday,,#N/A,Madison Av & Vannoy Av,37.707355,-122.064169,961,61,0.983606557,0,0,0,#N/A,COUNTY-ALAMEDA,ALAMEDA,4,0,0.00%,0.29653,6.80%,0.054679,9.40%,0,0.00%,#REF!
51020,48,804730,2108FA,Weekday,,#N/A,Sycamore Av & Silva Av,37.661485,-122.080473,960,61,0.983606557,0,0,0,#N/A,HAYWARD,ALAMEDA,4,0,0.00%,0.86675,71.10%,0.195496,47.10%,0,0.00%,#REF!
59450,49,801840,2108FA,Weekday,,#N/A,Foothill Blvd & City Center Dr (South Jctn),37.676896,-122.083225,960,60.5,0.991735537,0,0,0,#N/A,HAYWARD,ALAMEDA,4,0,0.00%,0.759494,50.10%,0.351833,69.80%,1,72.50%,#REF!
