name,stop_id,Category,Location,Sub Location,Description,Sub Description,Item,Finding,On Site Finding,Recommendation,Recommended Value,Deviation,Measure Units,Costing Info,Estimated Cost,Notes,Code Reference,Priority,Progress,Resolution,Projected Completion Date,Actual Completion Date,Actual Cost,Comments,Contractor,Landlord/Owner,Tenant,Both,Assignment,stop_lat,stop_lon,Designated Staff
"GCS001 - Alta Sierra Drive at Oakview - Alta Sierra Drive at Oakview
Alta Sierra, CA 95949",24839,Bus Stops,Exterior,,"Bus Stop @ 39.140104811616, -121.069507598877",,Bus Stop Pad Slope,Bus stop pad is not compliant.,3.70 percent,Provide a compliant bus stop pad.,Up to 2.08 percent,1.62,percent,,"$3,168.00",,"ADA 810,  CA 11B-810.2.4",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.140104811616,-121.069507598877,
"GCS001 - Alta Sierra Drive at Oakview - Alta Sierra Drive at Oakview
Alta Sierra, CA 95949",24838,Bus Stops,Exterior,,"Bus Stop @ 39.140104811616, -121.069507598877",,Accessible Route,Bus stop pad is not on an accessible route.,Not Accessible,Bus stop pad shall be on an accessible route.,See Recommendation,,,,,,ADA 810,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.140104811616,-121.069507598877,
"GCS001 - Alta Sierra Drive at Oakview - Alta Sierra Drive at Oakview
Alta Sierra, CA 95949",24841,Bus Stops,Exterior,,"Bench @ 39.141394606944, -121.070001125336",,Clear Floor Space,There is no clear floor space located next to bench.,Not Found,Provide compliant clear floor space next to the bench.,See Recommendation,,,,,,ADA 903,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.141394606944,-121.070001125336,
"GCS001 - Alta Sierra Drive at Oakview - Alta Sierra Drive at Oakview
Alta Sierra, CA 95949",24840,Bus Stops,Exterior,,"Shelter @ 39.140104811616, -121.069507598877",,Accessible Route,Bus stop shelter is not on an accessible route.,Not Accessible,Shelter shall be on an accessible route.,See Recommendation,,,,,,ADA 402,Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.140104811616,-121.069507598877,
"GCS002 - Alta Street at Ridge Road - Outbound - Alta Street at Ridge Road
Grass Valley, CA 95945",18896,Benches,Exterior,,"Bench Next to GCS002 Pole Stop @ 39.231845929272, -121.073037385941",,Clear Floor Space,No clear floor space provided at the bench.,Not Found,Provide compliant clear floor space for the bench at one end.,See Recommendation,,,,"$1,840.00",Notes : Clear Floor Space is DirtGrassGravel.,"ADA 206, 305, 903.2 ,  CA 11B-206, 305, 903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.231845929272,-121.073037385941,
"GCS002 - Alta Street at Ridge Road - Outbound - Alta Street at Ridge Road
Grass Valley, CA 95945",18895,Benches,Exterior,,"Bench Next to GCS002 Pole Stop @ 39.231845929272, -121.073037385941",,On Accessible Route,The bench is not on an accessible route.,Not Accessible,Provide a compliant accessible route to the benches.,See Recommendation,,,Provide compliant route,"$1,840.00",Notes : Clear Floor Space is DirtGrassGravel.,"ADA 205, 228, 305, 308, 309, 903",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.231845929272,-121.073037385941,
"GCS002 - Alta Street at Ridge Road - Outbound - Alta Street at Ridge Road
Grass Valley, CA 95945",18893,Pole Stops,Exterior,,"GCS002 @ 39.231845929272, -121.073037385941",,Visibility,The Timetable/Schedule/Map information is not visible from the sidewalk.,Not Visible,Provide Timetable/Schedule/Map information signage that is visible from the sidewalk.,See Recommendation,,,,$158.00,,"ADA 810.4, R211",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.231845929272,-121.073037385941,
"GCS002 - Alta Street at Ridge Road - Outbound - Alta Street at Ridge Road
Grass Valley, CA 95945",18894,Pole Stops,Exterior,,"GCS002 @ 39.231845929272, -121.073037385941",,Boarding Pad,No bus boarding pad/landing area is provided.,Not Found,Provide a compliant bus boarding pad/landing area.,See Recommendation,,,,,,"ADA 810.2, R213, R308.1,  CA 11B-810.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.231845929272,-121.073037385941,
"GCS002 - Alta Street at Ridge Road - Outbound - Alta Street at Ridge Road
Grass Valley, CA 95945",18892,Pole Stops,Exterior,,"GCS002 @ 39.231845929272, -121.073037385941",,Information Post,The information post is not located on an accessible route.,Not Found,Make sure the information post is on an accessible route.,See Recommendation,,,,,,"ADA 402,  CA 11B-810",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.231845929272,-121.073037385941,
"GCS003 - Brighton Street at Minnie Park - Brighton Street at Minnie Park
Grass Valley, CA 95945",18960,Benches,Exterior,,"Bench @ 39.213938711316, -121.071959137917",,Clear Floor Space,No clear floor space provided at the bench.,Not Found,Provide compliant clear floor space for the bench at one end.,See Recommendation,,,,"$1,840.00",,"ADA 206, 305, 903.2 ,  CA 11B-206, 305, 903.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,39.213938711316,-121.071959137917,
"GCS003 - Brighton Street at Minnie Park - Brighton Street at Minnie Park
Grass Valley, CA 95945",18964,Pole Stops,Exterior,,Pole Stop,,Cross Slope,The cross slope of the boarding pad/landing area is not compliant.,2.80 percent,Provide a compliant cross slope.,Up to 2.08 percent,0.72,percent,,,,"ADA 810.2.4, R308.1.1.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS003 - Brighton Street at Minnie Park - Brighton Street at Minnie Park
Grass Valley, CA 95945",18962,Pole Stops,Exterior,,Pole Stop,,Length,The length of the boarding pad/landing area is not compliant.,59.50 inches,Provide a compliant boarding pad/landing area.,At least 96.00 inches,-36.50,inches,,,,"ADA 810.2.2, R308.1.1.1",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS004 - Broad Street at City Hall - Broad Street at City Hall
Nevada City, CA 95959",24774,Pole Stops,Exterior,,Pole Stop,,Cross Slope,The cross slope of the boarding pad/landing area is not compliant.,9.90 percent,Provide a compliant cross slope.,Up to 2.08 percent,7.82,percent,,,,"ADA 810.2.4, R308.1.1.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
"GCS007 - Church Street at Neal Street - Church Street at Neal Street
Grass Valley, CA 95945",18945,Reach Ranges,Exterior,,Bus Stop,Trash Receptacle,Clear Floor Space Slope,The clear floor space slope is not compliant.,2.90 percent,Provide compliant clear floor space.,Up to 2.08 percent,0.82,percent,Redesign space,$500.00,,"ADA 304,  CA 11B-305.2",Not Set,Not_Set,Not_Set,,,$0.00,No Comments,,$0.00,$0.00,$0.00,Not_Set,,,
