 Lat, Lng,Uuid,Carrier_Code,Stop_Id, Stop_Name,Transit_Modes,Accessible,On_street,Street_direction,Cross_street,Relation_to_Cross_Street,Address,City,State,Zip,Shelter_Present,Seating_Present,Kiosk_Present,Public_Notes,Public_Imagry,Service_Location_Id,Prediction_Count,Dist,Service_Location_Name,Service_Location_UUID
36.779591,-119.862246,,,5,NE BRAWLEY - SHIELDS,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.808145,-119.862218,,,6,SE SHAW - BRAWLEY,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.80825,-119.826818,,,7,SW SHAW - WEST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.808498,-119.790072,,,8,SE SHAW - BLACKSTONE,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.808537,-119.771948,,,9,SE SHAW - FIRST,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.808565,-119.753608,,,10,SHAW - CEDAR,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.807989,-119.727404,,,11,SW WILLOW - SHAW,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.808653,-119.755124,,,13,NW SHAW - CEDAR,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.80859,-119.772728,,,14,NW SHAW - FIRST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.808541,-119.790909,,,15,NW SHAW - BLACKSTONE,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.808303,-119.826841,,,16,NW SHAW - WEST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.80842,-119.863034,,,17,NW SHAW - BRAWLEY,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.810313,-119.862542,,,28,BRAWLEY - WALMART,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.807821,-119.844618,,,29,SW MARKS - SHAW,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.778951,-119.835619,,,30,SW HUGHES - SHIELDS,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.765013,-119.807723,,,38,NE MCKINLEY - PALM,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.778817,-119.835419,,,39,SE HUGHES - SHIELDS,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.808444,-119.845027,,,40,NW SHAW - MARKS,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.821733,-119.826521,,,42,SW WEST - BULLARD,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.807186,-119.826514,,,43,SW WEST - SHAW,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.778982,-119.826714,,,44,SW WEST - SHIELDS,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.757616,-119.798463,,,45,SE OLIVE - VAN NESS,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.743081,-119.754118,,,48,TULARE - CEDAR,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.743076,-119.717889,,,49,TULARE - PEACH,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.730799,-119.677657,,,50,BURGAN - BUTLER,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.735985,-119.697492,,,51,KINGS CANYON - CLOVIS,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.85215,-119.791532,,,61,NEES - BLACKSTONE,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.836627,-119.808473,,,62,PALM - HERNDON,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.77911,-119.808768,,,63,PALM - SHIELDS,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.76923,-119.719794,,,65,FRESNO YOSEMITE INTL - WB,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.772085,-119.827028,,,67,CLINTON - WEST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.779163,-119.861827,,,68,SHIELDS - BRAWLEY,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.771924,-119.82611,,,70,CLINTON - WEST,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.783363,-119.79027,,,71,MANCHESTER TRANSIT CENTER EB 41,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.76996,-119.722373,,,72,FRESNO YOSEMITE INTL - EB,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.728748,-119.736883,,,73,BUTLER - CHESTNUT,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.780037,-119.808579,,,76,NE PALM - SHIELDS,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.83684,-119.807853,,,77,SE HERNDON - PALM,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.808535,-119.696576,,,79,SHAWCOLE W/B,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.809227,-119.772456,,,82,FIRST/SHAW S/B,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.783667,-119.790286,,,83,MANCHESTER TRANSIT CENTER,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.735759,-119.753707,,,84,CEDAR STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.728239,-119.736585,,,85,CHESTNUT - BUTLER,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.735978,-119.754184,,,88,CEDAR STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.783114,-119.790387,,,89,MANCHESTER TRANSIT CENTER,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.807187,-119.772185,,,90,FIRST - SHAW NB,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.837122,-119.790266,,,95,HERNDON STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.808012,-119.790662,,,96,SHAW STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.836195,-119.781417,,,106,FRESNO - HERNDON,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.807765,-119.781546,,,107,FRESNO - SHAW,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.771889,-119.78165,,,108,SW FRESNO - CLINTON,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.706467,-119.799956,,,111,MLK - JENSEN,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.692351,-119.791736,,,112,NORTH - ELM,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
